experiment,tag,bin_size,Hz,day
stationarity 1 - 22-12-2023,5,0.144287211840008,6.93062113577221,22-12-2023
stationarity 1 - 22-12-2023,6,0.144004184082462,6.94424267163906,22-12-2023
stationarity 1 - 22-12-2023,7,0.145385835185868,6.87824916864533,22-12-2023
stationarity 1 - 22-12-2023,8,0.145936373309138,6.85230129627581,22-12-2023
stationarity 1 - 22-12-2023,9,0.144482142785016,6.92127055097709,22-12-2023
stationarity 1 - 22-12-2023,10,0.142167355403427,7.03396357878577,22-12-2023
stationarity 1 - 22-12-2023,11,0.144044979097454,6.94227599091425,22-12-2023
stationarity 1 - 22-12-2023,12,0.144667718187366,6.91239215306383,22-12-2023
stationarity 1 - 22-12-2023,13,0.144031413562635,6.94292984610007,22-12-2023
stationarity 1 - 22-12-2023,14,0.151116611671658,6.61740618015427,22-12-2023
stationarity 1 - 22-12-2023,15,0.151481848214195,6.60145101072444,22-12-2023
stationarity 1 - 22-12-2023,16,0.149703260867492,6.67988121437874,22-12-2023
stationarity 1 - 22-12-2023,17,0.14366457679055,6.96065809916326,22-12-2023
stationarity 1 - 22-12-2023,24,0.145424947174105,6.87639926595805,22-12-2023
stationarity 1 - 22-12-2023,25,0.142131198289966,7.03575296649419,22-12-2023
stationarity 1 - 22-12-2023,32,0.145104430395843,6.89158833587655,22-12-2023
stationarity 1 - 22-12-2023,33,0.145036919710505,6.89479618014507,22-12-2023
stationarity 1 - 22-12-2023,40,0.144624605790548,6.91445272769312,22-12-2023
stationarity 1 - 22-12-2023,41,0.145832627254017,6.85717605744124,22-12-2023
stationarity 1 - 22-12-2023,42,0.143728601409896,6.95755743944188,22-12-2023
stationarity 1 - 22-12-2023,43,0.144709779135687,6.91038301608042,22-12-2023
stationarity 1 - 22-12-2023,44,0.144419727145312,6.92426180111683,22-12-2023
stationarity 1 - 22-12-2023,45,0.145554497380736,6.87027895389751,22-12-2023
stationarity 1 - 22-12-2023,46,0.144279874345791,6.93097359929306,22-12-2023
